source,target,length_km,speed_kph,name
n0000,n0001,0.6642,60,1st Avenue
n0000,n0100,0.6672,60,A Boulevard
n0000,n0005,3.3212,100,Ring Motorway
n0000,n0400,2.6687,100,Ring Motorway
n0001,n0000,0.6642,60,1st Avenue
n0001,n0002,0.6642,60,1st Avenue
n0001,n0101,0.6672,35,B Lane
n0002,n0001,0.6642,60,1st Avenue
n0002,n0003,0.6642,60,1st Avenue
n0002,n0102,0.6672,35,C Lane
n0003,n0002,0.6642,60,1st Avenue
n0003,n0004,0.6642,60,1st Avenue
n0003,n0103,0.6672,35,D Lane
n0004,n0003,0.6642,60,1st Avenue
n0004,n0005,0.6642,60,1st Avenue
n0004,n0104,0.6672,35,E Lane
n0005,n0004,0.6642,60,1st Avenue
n0005,n0006,0.6642,60,1st Avenue
n0005,n0105,0.6672,60,F Boulevard
n0005,n0000,3.3212,100,Ring Motorway
n0005,n0010,3.3212,100,Ring Motorway
n0006,n0005,0.6642,60,1st Avenue
n0006,n0007,0.6642,60,1st Avenue
n0006,n0106,0.6672,35,G Lane
n0007,n0006,0.6642,60,1st Avenue
n0007,n0008,0.6642,60,1st Avenue
n0007,n0107,0.6672,35,H Lane
n0008,n0007,0.6642,60,1st Avenue
n0008,n0009,0.6642,60,1st Avenue
n0008,n0108,0.6672,35,I Lane
n0009,n0008,0.6642,60,1st Avenue
n0009,n0010,0.6642,60,1st Avenue
n0010,n0009,0.6642,60,1st Avenue
n0010,n0011,0.6642,60,1st Avenue
n0010,n0110,0.6672,60,K Boulevard
n0010,n0005,3.3212,100,Ring Motorway
n0010,n0015,3.3212,100,Ring Motorway
n0011,n0010,0.6642,60,1st Avenue
n0011,n0012,0.6642,60,1st Avenue
n0011,n0111,0.6672,35,L Lane
n0012,n0011,0.6642,60,1st Avenue
n0012,n0013,0.6642,60,1st Avenue
n0012,n0112,0.6672,35,M Lane
n0013,n0012,0.6642,60,1st Avenue
n0013,n0014,0.6642,60,1st Avenue
n0013,n0113,0.6672,35,N Lane
n0014,n0013,0.6642,60,1st Avenue
n0014,n0015,0.6642,60,1st Avenue
n0014,n0114,0.6672,35,O Lane
n0015,n0014,0.6642,60,1st Avenue
n0015,n0016,0.6642,60,1st Avenue
n0015,n0115,0.6672,60,P Boulevard
n0015,n0010,3.3212,100,Ring Motorway
n0015,n0020,3.3212,100,Ring Motorway
n0016,n0015,0.6642,60,1st Avenue
n0016,n0017,0.6642,60,1st Avenue
n0016,n0116,0.6672,35,Q Lane
n0017,n0016,0.6642,60,1st Avenue
n0017,n0018,0.6642,60,1st Avenue
n0017,n0117,0.6672,35,R Lane
n0018,n0017,0.6642,60,1st Avenue
n0018,n0019,0.6642,60,1st Avenue
n0019,n0018,0.6642,60,1st Avenue
n0019,n0020,0.6642,60,1st Avenue
n0019,n0119,0.6672,35,T Lane
n0020,n0019,0.6642,60,1st Avenue
n0020,n0021,0.6642,60,1st Avenue
n0020,n0120,0.6672,60,U Boulevard
n0020,n0015,3.3212,100,Ring Motorway
n0020,n0025,3.3212,100,Ring Motorway
n0021,n0020,0.6642,60,1st Avenue
n0021,n0022,0.6642,60,1st Avenue
n0021,n0121,0.6672,35,V Lane
n0022,n0021,0.6642,60,1st Avenue
n0022,n0023,0.6642,60,1st Avenue
n0022,n0122,0.6672,35,W Lane
n0023,n0022,0.6642,60,1st Avenue
n0023,n0024,0.6642,60,1st Avenue
n0023,n0123,0.6672,35,X Lane
n0024,n0023,0.6642,60,1st Avenue
n0024,n0025,0.6642,60,1st Avenue
n0024,n0124,0.6672,35,Y Lane
n0025,n0024,0.6642,60,1st Avenue
n0025,n0026,0.6642,60,1st Avenue
n0025,n0125,0.6672,60,Z Boulevard
n0025,n0020,3.3212,100,Ring Motorway
n0025,n0030,3.3212,100,Ring Motorway
n0026,n0025,0.6642,60,1st Avenue
n0026,n0027,0.6642,60,1st Avenue
