id,lat,lon,name
n0000,31.420000,74.200000,1st Avenue & A Boulevard
n0001,31.420000,74.207000,1st Avenue & B Lane
n0002,31.420000,74.214000,1st Avenue & C Lane
n0003,31.420000,74.221000,1st Avenue & D Lane
n0004,31.420000,74.228000,1st Avenue & E Lane
n0005,31.420000,74.235000,1st Avenue & F Boulevard
n0006,31.420000,74.242000,1st Avenue & G Lane
n0007,31.420000,74.249000,1st Avenue & H Lane
n0008,31.420000,74.256000,1st Avenue & I Lane
n0009,31.420000,74.263000,1st Avenue & J Lane
n0010,31.420000,74.270000,1st Avenue & K Boulevard
n0011,31.420000,74.277000,1st Avenue & L Lane
n0012,31.420000,74.284000,1st Avenue & M Lane
n0013,31.420000,74.291000,1st Avenue & N Lane
n0014,31.420000,74.298000,1st Avenue & O Lane
n0015,31.420000,74.305000,1st Avenue & P Boulevard
n0016,31.420000,74.312000,1st Avenue & Q Lane
n0017,31.420000,74.319000,1st Avenue & R Lane
n0018,31.420000,74.326000,1st Avenue & S Lane
n0019,31.420000,74.333000,1st Avenue & T Lane
n0020,31.420000,74.340000,1st Avenue & U Boulevard
n0021,31.420000,74.347000,1st Avenue & V Lane
n0022,31.420000,74.354000,1st Avenue & W Lane
n0023,31.420000,74.361000,1st Avenue & X Lane
n0024,31.420000,74.368000,1st Avenue & Y Lane
n0025,31.420000,74.375000,1st Avenue & Z Boulevard
n0026,31.420000,74.382000,1st Avenue & AA Lane
n0027,31.420000,74.389000,1st Avenue & AB Lane
n0028,31.420000,74.396000,1st Avenue & AC Lane
n0029,31.420000,74.403000,1st Avenue & AD Lane
n0030,31.420000,74.410000,1st Avenue & AE Boulevard
n0031,31.420000,74.417000,1st Avenue & AF Lane
n0032,31.420000,74.424000,1st Avenue & AG Lane
n0033,31.420000,74.431000,1st Avenue & AH Lane
n0034,31.420000,74.438000,1st Avenue & AI Lane
n0035,31.420000,74.445000,1st Avenue & AJ Boulevard
n0036,31.420000,74.452000,1st Avenue & AK Lane
n0037,31.420000,74.459000,1st Avenue & AL Lane
n0038,31.420000,74.466000,1st Avenue & AM Lane
n0039,31.420000,74.473000,1st Avenue & AN Lane
n0100,31.426000,74.200000,2nd Street & A Boulevard
n0101,31.426000,74.207000,2nd Street & B Lane
n0102,31.426000,74.214000,2nd Street & C Lane
n0103,31.426000,74.221000,2nd Street & D Lane
n0104,31.426000,74.228000,2nd Street & E Lane
n0105,31.426000,74.235000,2nd Street & F Boulevard
n0106,31.426000,74.242000,2nd Street & G Lane
n0107,31.426000,74.249000,2nd Street & H Lane
n0108,31.426000,74.256000,2nd Street & I Lane
n0109,31.426000,74.263000,2nd Street & J Lane
n0110,31.426000,74.270000,2nd Street & K Boulevard
n0111,31.426000,74.277000,2nd Street & L Lane
n0112,31.426000,74.284000,2nd Street & M Lane
n0113,31.426000,74.291000,2nd Street & N Lane
n0114,31.426000,74.298000,2nd Street & O Lane
n0115,31.426000,74.305000,2nd Street & P Boulevard
n0116,31.426000,74.312000,2nd Street & Q Lane
n0117,31.426000,74.319000,2nd Street & R Lane
n0118,31.426000,74.326000,2nd Street & S Lane
n0119,31.426000,74.333000,2nd Street & T Lane
n0120,31.426000,74.340000,2nd Street & U Boulevard
n0121,31.426000,74.347000,2nd Street & V Lane
n0122,31.426000,74.354000,2nd Street & W Lane
